[END_MEASUREMENT build_unpacked_public_key_mut] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 970) : 761164114 (+ 552892)
[START_MEASUREMENT encrypt_unpacked] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 971) : 761182042
[START_MEASUREMENT encrypt_c1] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 751) : 761212645
[START_SECTION encrypt_c1] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 806) : 761227035
[END_MEASUREMENT sample_vector_cbd_then_ntt] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 822) : 761389278 (+ 147841)
[START_MEASUREMENT sample_ring_element_cbd] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 832) : 761407095
[END_MEASUREMENT sample_ring_element_cbd] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 842) : 761469197 (+ 62102)
[START_MEASUREMENT PRF] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 849) : 761486171
[END_MEASUREMENT PRF] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 852) : 761519224 (+ 33053)
[START_MEASUREMENT sample_from_binomial_distribution] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 853) : 761533031
[END_MEASUREMENT sample_from_binomial_distribution] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 855) : 761552406 (+ 19375)
[START_MEASUREMENT PolynomialRingElement::from_i16_array] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 856) : 761570807
[END_MEASUREMENT PolynomialRingElement::from_i16_array] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 858) : 761589704 (+ 18897)
[END_MEASUREMENT compute_vector_u] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 864) : 761839624 (+ 230923)
[START_MEASUREMENT compress_then_serialize_u] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 867) : 761855922
[END_MEASUREMENT compress_then_serialize_u] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 869) : 761886359 (+ 30437)
[END_SECTION encrypt_c1] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 870) : 761903592 (+ 676557)
[END_MEASUREMENT encrypt_c1] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 772) : 761918710 (+ 706065)
[START_MEASUREMENT encrypt_c2] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 773) : 761933808
[START_SECTION encrypt_cr] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 886) : 761948215
[START_MEASUREMENT deserialize_then_decompress_message] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 888) : 761962620
[END_MEASUREMENT deserialize_then_decompress_message] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 891) : 761982584 (+ 19964)
[END_MEASUREMENT compute_ring_element_v] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 901) : 762255048 (+ 253764)
[START_MEASUREMENT compress_then_serialize_ring_element_v] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 905) : 762272257
[END_MEASUREMENT compress_then_serialize_ring_element_v] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 909) : 762295426 (+ 23169)
[END_SECTION encrypt_c2] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 910) : 762314597 (+ 366382)
[END_MEASUREMENT encrypt_c2] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 781) : 762329715 (+ 395907)
[END_SECTION encrypt_unpacked] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 782) : 762344836 (+ 1147489)
[END_MEASUREMENT encrypt_unpacked] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 998) : 762360847 (+ 1178805)
[END_SECTION encrypt] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cpa.rs, 999) : 762376862 (+ 1822559)
[END_MEASUREMENT encrypt] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 488) : 762391535 (+ 1853177)
[START_MEASUREMENT Scheme::kdf] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 497) : 762651482
[END_MEASUREMENT Scheme::kdf] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 500) : 762666334 (+ 14852)
[START_MEASUREMENT compare_ciphertexts_select_shared_secret_in_constant_time] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 501) : 762681452
[END_MEASUREMENT compare_ciphertexts_select_shared_secret_in_constant_time] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 510) : 762709273 (+ 27821)
[END_SECTION decapsulate] (/home/jonas/worktrees/iot/wip/libcrux/libcrux-ml-kem/src/ind_cca.rs, 511) : 762731275 (+ 3315913)
